S,Feedback,Sentiment
262,Works great.,1
696,The phone can also take great pictures and even video clips.,1
941,I have tried these cables with my computer and my iPod and it works just fine.,1
992,Lasted one day and then blew up.,0
930,Never got it!!!!!,0
738,The design is very good.4.,1
533,So I basically threw my money out the window for nothing.,0
942,"The mic there is a joke, and the volume is quite low.",0
887,Best headset ever!!!.,1
690,The nokia CA-42 USB cable did not work with my phone.,0
137,My headset works just peachy-keen.,1
354,Excellent starter wireless headset.,0
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
212,Great price also!,1
117,It is very comfortable on the ear.,1
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
54,I love this thing!,1
371,Display is excellent and camera is as good as any from that year.,1
273,I gave it 5 stars because of the sound quality.,1
327,The plug did not work very well.,0
23,I have yet to run this new battery below two bars and that's three days without charging.,1
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
294,The voice recognition thru the handset is excellent.,1
859,"Terrible product, and waste of money!",0
367,"I had ordered a motorola data cable, got a very well finished and working product.",1
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1
404,don't waste your money and time.,0
591,Linked to my phone without effort.,1
401,Very prompt service.,1
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
457,Nice solid keyboard.,1
626,Don't make the same mistake that I did and please don't buy this phone.,0
988,"It didn't work, people can not hear me when I talk.",0
983,I am going to have to be the first to negatively review this product.,0
43,I only hear garbage for audio.,0
850,It looks very nice.,1
840,It would take too long to describe how bad my customer service experience has been with Amazon.,0
223,"All in all, I'd expected a better consumer experience from Motorola.",0
993,disappointed.,0
328,AMAZON SUCKS.,0
937,The headset fulfills my requirements so I am happy with my purchase.,1
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
191,Any ring tone..Overall good phone to buy..,1
388,It worked very well.,1
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
392,This is a great deal.,1
994,Kind of flops around.,0
981,you could only take 2 videos at a time and the quality was very poor.,0
592,THey are so cool!,1
311,The instruction manual is lacking.,0
263,Absolutel junk.,0
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
572,Worst ever.,0
407,Works great.,1
29,Doesn't hold charge.,0
534,Great case and price!,1
99,I'm very disappointed with my decision.,0
142,I was not happy with this item.,0
301,Now I know that I made a wise decision.,1
695,Do NOT buy if you want to use the holster.,0
447,Very happy with this product.,1
31,This product is ideal for people like me whose ears are very sensitive.,1
682,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0
319,I love this device.,1
314,The battery is unreliable as well as the service use antena.,0
893,Bad Reception.,0
885,"When it opens, the battery connection is broken and the device is turned off.",0
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
172,How can that be?The audio quality is poor.,0
186,Design Flaw?.,0
497,Save your money.... I've had this item for 11 months now.,0
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
150,I Was Hoping for More.,0
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
870,Works fine.,1
543,Don't buy this product.,0
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
17,So Far So Good!.,1
442,They made this case too small and is very difficult to install.,0
955,Buttons are too small.,0
644,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
135,The majority of the Logitech earbud headsets failed.,0
134,Buyer--Be Very Careful!!!!!.,0
372,Battery life is also great!,1
73,Nice docking station for home or work.,1
865,Would recommend this item.,1
796,"Five star Plus, plus.",1
178,It only recognizes the Phone as its storage device.,0
559,"None of it works, just don't buy it.",0
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
10,And the sound quality is great.,1
875,This is by far the worst purchase I've made on Amazon.,0
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
929,As I said above....PRETTY USELESS!,0
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
386,Poor sound quality.,0
510,This frog phone charm is adorable and very eye catching.,1
726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
757,The nano stated it.My son was dissapointed.,0
561,Please dont waste your money.,0
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
667,"Looks good in the picture, but this case was a huge disappointment!!",0
291,Don't buy it.,0
609,It fits my ear well and is comfortable on.,1
11,He was very impressed when going from the original battery to the extended battery.,1
440,Very Displeased.,0
188,Waste of 13 bucks.,0
752,Blue Ant is easy to use.,1
340,Excellent sound quality.,1
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
522,I ended up sliding it on the edge of my pants or back pockets instead.,1
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
523,I had to go to a store and bought a new NOKIA phone which is working great.,1
405,I especially love the long battery life.,1
332,The reception is excellent!,1
919,"Saggy, floppy piece of junk.",0
923,cool phone.,1
710,Can't store anything but phone numbers to SIM.,0
805,Does Not Work.,0
346,Reception is terrible and full of static.,0
711,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
148,Items stated as included from the description ARE NOT INCLUDED.,0
977,":-)Oh, the charger seems to work fine.",1
230,The battery is completely useless to me.,0
831,All three broke within two months of use.,0
803,"If there is a wind, it is completely useless.",0
362,"It is light, easy to use, and has very clear reception and transmission.",1
353,Their network coverage in Los Angeles is horrible.,0
518,The phone is sturdy and waterproof.,1
288,Poorly contstruct hinge.,0
762,Just what I wanted.,1
45,It has all the features I want,1
861,It was a waste of my money.,0
623,"Plus, I seriously do not believe it is worth its steep price point.",0
599,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
616,Poor product.,0
931,This pair of headphones is the worst that I have ever had sound-wise.,0
364,It definitely was not as good as my S11.,1
197,Bad Choice.,0
279,Comfort for our whole family.,1
706,So anyone near you will hear part of your conversation.,0
377,This is a VERY average phone with bad battery life that operates on a weak network.,0
84,"This item worked great, but it broke after 6 months of use.",0
778,This is a great deal.,1
569,It's A PIECE OF CRAP!,0
896,Great phone.,1
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
5,I have to jiggle the plug to get it to line up right to get decent volume.,0
360,Nice design and quality.,1
640,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
741,"Couldn't use the unit with sunglasses, not good in Texas!",0
753,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
